Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,17,6,219,128,19,128,6,37,8,4,462.5
2,19,12,223,158,19,158,8,48,9,2,533.333
3,16,8,225,138,16,138,8,42,9,4,466.667
4,11,7,213,149,14,149,10,43,9,4,477.778
5,16,8,226,114,21,114,5,27,9,2,300
6,12,10,204,94,17,94,5,31,9,2,344.444
7,5,5,215,210,4,210,52,49,8,0,612.5
8,7,2,242,3,3,3,1,2,9,4,22.2222
9,5,1,254,131,15,131,8,35,9,0,388.889
10,11,4,257,141,16,141,8,46,8,4,575
11,2,2,250,8,3,8,2,5,8,4,62.5
12,9,4,260,7,4,7,1,5,8,4,62.5
13,17,9,257,180,17,180,10,63,8,4,787.5
14,22,19,226,139,19,139,7,57,8,2,712.5
15,22,19,222,138,20,138,6,57,7,4,814.286
16,22,12,222,106,18,106,5,39,8,4,487.5
17,23,9,231,84,16,84,5,22,8,2,275
18,21,20,249,233,4,233,58,77,8,0,962.5
19,22,11,263,140,28,140,5,36,7,4,514.286
20,21,12,259,149,29,149,5,35,7,4,500
21,14,12,266,205,6,205,34,76,8,0,950
22,9,7,236,109,20,109,5,33,8,2,412.5
23,9,4,214,119,16,119,7,45,8,4,562.5
24,12,5,215,113,16,113,7,46,8,4,575
25,13,9,233,125,15,125,8,39,7,2,557.143
26,22,12,271,141,26,141,5,35,7,4,500
27,20,13,271,140,18,140,7,48,7,4,685.714
28,13,8,284,170,18,170,9,48,7,2,685.714
29,8,5,292,184,18,184,10,64,7,4,914.286
30,13,5,275,14,3,14,4,6,7,2,85.7143
31,1,1,256,248,4,248,62,35,7,0,500
32,0,0,267,0,2,0,0,21,7,4,300
33,16,15,236,222,4,222,55,81,7,0,1157.14
34,20,12,232,88,17,88,5,30,7,4,428.571
35,20,10,257,98,20,98,4,28,6,4,466.667
36,25,25,271,267,4,267,66,78,6,0,1300
37,23,23,316,310,4,310,77,80,6,0,1333.33
38,28,10,254,120,17,120,7,41,6,0,683.333
39,28,10,255,123,16,123,7,41,6,0,683.333
40,28,28,250,248,4,248,62,74,6,0,1233.33
41,14,9,259,207,4,207,51,80,6,0,1333.33
42,10,5,260,109,25,109,4,27,6,4,450
43,23,12,270,165,17,165,9,54,6,2,900
44,22,12,271,168,15,168,11,55,6,2,916.667
45,20,14,290,154,17,154,9,60,6,2,1000
46,19,17,264,187,10,187,18,56,5,0,1120
47,15,7,286,123,26,123,4,26,5,4,520
48,11,5,255,153,16,153,9,35,6,2,583.333
49,22,10,256,127,12,127,10,43,5,4,860
50,19,4,234,70,14,70,5,21,6,2,350
51,28,28,227,227,4,227,56,86,5,-2,1720
52,28,13,242,102,21,102,4,27,5,2,540
53,29,27,257,248,4,248,62,80,5,0,1600
54,25,20,274,254,4,254,63,91,5,0,1820
55,26,18,272,253,4,253,63,79,5,0,1580
56,27,21,252,212,5,212,42,82,5,0,1640
57,20,11,242,134,16,134,8,42,5,4,840
58,20,10,241,118,17,118,6,43,5,4,860
59,24,12,275,171,16,171,10,48,4,4,1200
60,16,12,221,142,14,142,10,64,4,0,1600
61,16,16,281,278,4,278,69,72,4,0,1800
62,28,26,304,268,6,268,44,70,5,0,1400
63,29,28,306,268,6,268,44,68,4,0,1700
64,14,5,299,157,20,157,7,46,5,2,920
65,20,15,298,195,20,195,9,56,5,2,1120
66,12,7,291,127,19,127,6,34,5,4,680
67,9,2,299,9,3,9,3,2,5,4,40
68,9,4,294,11,4,11,2,2,5,4,40
69,4,2,226,7,3,7,2,5,5,4,100
70,20,7,240,94,23,94,4,30,5,4,600
71,24,13,252,103,23,103,4,29,5,4,580
72,23,12,283,129,24,129,5,34,5,4,680
73,28,13,268,116,18,116,6,40,5,2,800
74,36,11,263,124,25,124,4,37,5,2,740
75,40,32,289,252,4,252,63,79,5,0,1580
76,45,30,285,231,6,231,38,73,5,0,1460
77,43,14,279,102,21,102,4,23,5,4,460
78,32,13,258,83,17,83,4,24,5,4,480
79,13,5,299,81,19,81,4,22,5,4,440
80,20,11,305,122,24,122,5,28,5,4,560
81,15,7,270,131,15,131,8,22,4,2,550
82,22,12,276,94,19,94,4,23,5,2,460
83,35,34,267,261,4,261,65,76,6,0,1266.67
84,55,52,314,296,4,296,74,85,6,0,1416.67
85,43,28,304,200,23,200,8,49,6,2,816.667
86,32,7,281,119,22,119,5,28,6,2,466.667
87,46,19,285,125,23,125,5,31,6,2,516.667
88,41,39,277,269,4,269,67,87,6,0,1450
89,35,11,257,106,22,106,4,33,6,4,550
90,36,17,252,130,13,130,10,70,6,4,1166.67
91,39,32,269,213,8,213,26,70,6,0,1166.67
92,37,23,270,178,12,178,14,59,5,0,1180
93,58,50,281,255,4,255,63,86,6,0,1433.33
94,38,22,258,167,16,167,10,57,6,4,950
95,38,25,268,181,12,181,15,65,6,0,1083.33
96,46,42,288,280,4,280,70,73,5,0,1460
97,50,29,314,177,19,177,9,64,5,4,1280
98,35,15,307,136,22,136,6,32,5,4,640
99,29,11,276,127,22,127,5,24,5,2,480
100,29,8,275,114,18,114,6,25,4,4,625
101,30,11,257,12,5,12,2,3,4,4,75
102,38,17,238,120,21,120,5,28,4,2,700
103,33,32,239,232,4,232,58,84,5,0,1680
104,32,18,245,153,12,153,12,49,5,4,980
105,42,24,261,163,17,163,9,56,5,4,1120
106,40,24,259,163,16,163,10,62,5,0,1240
107,35,24,267,181,14,181,12,62,5,2,1240
108,28,10,268,120,25,120,4,36,5,4,720
109,20,8,277,129,15,129,8,40,5,4,800
110,25,13,256,127,17,127,7,39,5,4,780
111,18,10,255,129,18,129,7,35,5,4,700
112,19,13,260,152,12,152,12,32,5,2,640
113,23,8,257,98,19,98,5,21,5,2,420
114,24,13,246,117,16,117,7,31,5,4,620
115,23,13,258,125,21,125,5,32,5,4,640
116,24,14,257,131,23,131,5,33,5,4,660
117,21,13,262,173,17,173,10,33,6,4,550
118,21,15,258,120,18,120,6,30,6,4,500
119,18,18,277,262,4,262,65,69,6,0,1150
120,26,19,312,140,23,140,6,28,6,4,466.667
121,32,20,295,116,21,116,5,26,6,4,433.333
122,35,25,320,168,28,168,6,36,6,4,600
123,19,16,321,162,30,162,5,38,6,4,633.333
124,16,13,331,125,28,125,4,29,6,4,483.333
125,25,19,324,175,21,175,8,50,6,4,833.333
126,29,20,309,201,16,201,12,36,6,4,600
127,18,13,297,110,22,110,5,23,6,4,383.333
128,19,18,289,279,4,279,69,61,6,0,1016.67
129,24,17,268,152,15,152,10,42,6,2,700
130,22,15,253,170,16,170,10,44,6,4,733.333
131,22,15,255,173,15,173,11,44,6,2,733.333
132,18,16,245,156,12,156,13,54,6,4,900
133,23,14,261,154,19,154,8,40,6,4,666.667
134,25,20,244,144,14,144,10,37,6,0,616.667
135,25,18,243,109,21,109,5,29,7,4,414.286
136,24,17,243,106,22,106,4,29,6,4,483.333
137,22,16,237,109,26,109,4,33,7,4,471.429
138,21,15,257,169,15,169,11,41,7,4,585.714
139,24,17,274,133,26,133,5,36,7,4,514.286
140,27,21,267,163,14,163,11,39,7,4,557.143
141,28,28,288,287,4,287,71,70,7,0,1000
142,22,18,298,123,25,123,4,30,7,4,428.571
143,25,18,281,184,17,184,10,51,7,2,728.571
144,23,15,280,173,11,173,15,40,7,0,571.429
145,29,15,311,138,26,138,5,31,6,4,516.667
146,27,18,275,136,22,136,6,34,7,0,485.714
147,33,22,273,187,18,187,10,44,7,2,628.571
148,29,17,270,135,25,135,5,36,7,2,514.286
149,26,11,272,126,25,126,5,32,7,4,457.143
150,26,11,271,132,27,132,4,30,7,4,428.571
151,28,18,269,176,17,176,10,52,7,4,742.857
152,22,14,246,154,14,154,11,45,7,2,642.857
153,24,17,232,149,12,149,12,42,7,2,600
154,19,15,239,107,22,107,4,36,0,4,0
155,19,15,238,111,24,111,4,33,0,4,0
