Frame #,Box Est.,Actual, Accuracy
1,72,92,78.2609
2,76,92,82.6087
3,44,0,0
4,54,92,58.6957
5,72,91,79.1209
6,62,99,62.6263
7,8,96,8.33333
8,3,98,3.06122
9,98,98,100
10,87,94,92.5532
11,74,96,77.0833
12,75,99,75.7576
13,90,101,89.1089
14,103,117,88.0342
15,96,96,100
16,84,105,80
17,96,101,95.0495
18,95,101,94.0594
19,71,100,71
20,75,96,78.125
21,52,96,54.1667
22,21,101,20.7921
23,77,96,80.2083
24,63,91,69.2308
25,60,93,64.5161
26,68,92,73.913
27,83,92,90.2174
28,84,95,88.4211
29,70,96,72.9167
30,52,92,56.5217
31,64,91,70.3297
32,61,90,67.7778
33,73,87,83.908
34,69,90,76.6667
35,25,87,28.7356
36,0,88,0
37,0,88,0
38,65,90,72.2222
39,78,90,86.6667
40,85,86,98.8372
41,14,88,15.9091
42,73,87,83.908
43,80,89,89.8876
44,69,82,84.1463
45,79,87,90.8046
46,73,87,83.908
47,59,87,67.8161
48,23,92,25
49,49,94,52.1277
50,97,92,105.435
51,65,91,71.4286
52,64,94,68.0851
53,75,95,78.9474
54,88,99,88.8889
55,68,100,68
56,68,92,73.913
57,36,94,38.2979
58,41,94,43.617
59,63,94,67.0213
60,67,88,76.1364
61,3,91,3.2967
62,52,91,57.1429
63,0,91,0
64,56,90,62.2222
65,46,84,54.7619
66,1,84,1.19048
67,27,90,30
68,42,94,44.6809
69,87,93,93.5484
70,32,93,34.4086
71,0,95,0
72,56,98,57.1429
73,25,99,25.2525
74,34,100,34
75,0,97,0
76,17,101,16.8317
77,24,103,23.301
78,0,100,0
79,59,106,55.6604
80,53,111,47.7477
81,47,107,43.9252
82,0,111,0
83,0,110,0
84,31,110,28.1818
85,67,111,60.3604
86,40,110,36.3636
87,34,114,29.8246
88,21,114,18.4211
89,25,113,22.1239
90,54,114,47.3684
91,60,113,53.0973
92,62,114,54.386
93,74,116,63.7931
94,22,116,18.9655
95,47,116,40.5172
96,46,114,40.3509
97,60,115,52.1739
98,70,115,60.8696
99,44,115,38.2609
100,41,119,34.4538
101,65,114,57.0175
102,67,116,57.7586
103,40,121,33.0579
