Frame #,Box Est.,Actual, Accuracy
1,21,25,84
2,28,23,121.739
3,26,21,123.81
4,23,18,127.778
5,21,18,116.667
6,18,21,85.7143
7,19,17,111.765
8,16,18,88.8889
9,16,17,94.1176
10,19,17,111.765
11,17,16,106.25
12,19,15,126.667
13,17,15,113.333
14,16,16,100
15,18,18,100
16,16,17,94.1176
17,17,14,121.429
18,16,14,114.286
19,14,16,87.5
20,10,16,62.5
21,11,15,73.3333
22,20,14,142.857
23,15,14,107.143
24,17,14,121.429
25,18,18,100
26,17,14,121.429
27,13,13,100
28,13,12,108.333
29,10,11,90.9091
30,12,11,109.091
31,17,9,188.889
32,14,13,107.692
33,11,9,122.222
34,14,9,155.556
35,13,9,144.444
36,10,9,111.111
37,13,9,144.444
38,9,9,100
39,10,13,76.9231
40,9,8,112.5
41,9,8,112.5
42,9,12,75
43,8,8,100
44,8,8,100
45,9,8,112.5
46,9,9,100
47,8,8,100
48,6,7,85.7143
49,8,7,114.286
50,8,7,114.286
51,8,7,114.286
52,9,7,128.571
53,8,7,114.286
54,8,6,133.333
55,6,7,85.7143
56,6,6,100
57,7,7,100
58,7,6,116.667
59,6,5,120
60,6,5,120
61,5,5,100
62,5,5,100
63,6,5,120
64,6,5,120
65,3,6,50
66,4,4,100
67,6,4,150
68,6,4,150
69,6,5,120
70,6,5,120
71,5,4,125
72,6,4,150
73,5,4,125
74,5,4,125
75,6,4,150
76,7,4,175
77,4,4,100
78,6,4,150
79,5,4,125
80,6,5,120
81,5,4,125
82,5,4,125
83,4,6,66.6667
84,6,3,200
85,5,3,166.667
86,5,3,166.667
87,6,3,200
88,6,3,200
89,6,3,200
90,8,3,266.667
91,4,3,133.333
92,5,2,250
93,5,2,250
94,5,2,250
95,3,2,150
96,3,6,50
97,4,2,200
98,4,2,200
99,6,2,300
100,3,2,150
101,3,2,150
102,5,2,250
103,3,2,150
104,5,2,250
105,4,2,200
106,5,2,250
107,9,2,450
108,9,2,450
109,6,2,300
110,6,2,300
111,6,2,300
112,1,2,50
113,5,2,250
114,5,3,166.667
115,6,2,300
116,10,2,500
117,11,2,550
118,8,2,400
119,10,2,500
120,6,2,300
121,4,2,200
122,4,2,200
123,3,2,150
124,4,2,200
125,6,2,300
126,6,2,300
127,5,2,250
128,0,2,0
129,6,2,300
130,7,2,350
131,9,0,0
