Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,0,0,42,0,2,0,0,0,12,-2,0
2,6,4,34,24,4,24,6,17,10,0,170
3,0,0,37,0,2,0,0,0,10,-2,0
4,0,0,40,0,2,0,0,0,9,-2,0
5,0,0,39,0,2,0,0,0,9,-2,0
6,0,0,37,0,2,0,0,0,9,-2,0
7,0,0,40,0,2,0,0,0,11,-2,0
8,0,0,40,0,2,0,0,0,11,-2,0
9,0,0,37,0,2,0,0,0,9,-2,0
10,0,0,38,0,2,0,0,0,9,-2,0
11,0,0,44,0,2,0,0,0,9,-2,0
12,0,0,45,0,2,0,0,0,10,-2,0
13,0,0,44,0,2,0,0,0,9,-2,0
14,0,0,45,0,2,0,0,0,12,-2,0
15,10,3,59,17,4,17,4,8,12,0,66.6667
16,7,2,48,15,4,15,3,8,11,0,72.7273
17,9,2,53,16,4,16,4,8,10,0,80
18,7,6,49,47,4,47,11,32,12,0,266.667
19,0,0,48,0,2,0,0,0,10,-2,0
20,0,0,47,0,2,0,0,0,11,-2,0
21,0,0,54,0,2,0,0,0,17,-2,0
22,0,0,59,0,2,0,0,0,10,-2,0
23,6,3,56,20,4,20,5,7,11,-1,63.6364
24,6,5,56,33,10,33,3,9,11,4,81.8182
25,0,0,58,0,2,0,0,0,12,-2,0
26,9,6,59,41,4,41,10,18,12,-1,150
27,6,4,63,33,9,33,3,10,13,4,76.9231
28,0,0,61,0,2,0,0,0,13,-2,0
29,0,0,62,0,2,0,0,0,13,-2,0
30,0,0,56,0,2,0,0,0,14,-2,0
31,0,0,53,0,2,0,0,0,13,-2,0
32,4,2,55,16,4,16,4,7,13,-1,53.8462
33,6,2,65,25,4,25,6,8,13,0,61.5385
34,7,2,66,25,4,25,6,8,13,0,61.5385
35,7,3,64,25,4,25,6,11,13,-1,84.6154
36,9,3,63,23,4,23,5,10,13,-1,76.9231
37,8,8,69,68,4,68,17,46,14,-1,328.571
38,7,2,67,25,4,25,6,10,13,0,76.9231
39,0,0,63,0,2,0,0,0,13,-2,0
40,9,9,64,56,4,56,14,43,13,0,330.769
41,6,6,63,45,4,45,11,25,13,-2,192.308
42,8,3,64,23,4,23,5,10,13,-1,76.9231
43,7,6,64,39,4,39,9,20,13,-1,153.846
44,5,3,67,20,4,20,5,11,13,0,84.6154
45,8,2,69,19,4,19,4,9,13,-1,69.2308
46,8,2,66,21,4,21,5,10,13,0,76.9231
47,0,0,53,0,2,0,0,0,14,-2,0
48,0,0,59,0,2,0,0,0,14,-2,0
49,6,2,64,17,4,17,4,9,14,0,64.2857
50,0,0,67,0,2,0,0,0,14,-2,0
51,0,0,63,0,2,0,0,0,14,-2,0
52,6,4,67,33,5,33,6,17,14,-1,121.429
53,6,4,67,43,5,43,8,20,13,-1,153.846
54,6,3,71,23,5,23,4,12,13,0,92.3077
55,5,3,69,44,6,44,7,14,13,0,107.692
56,0,0,63,0,2,0,0,0,14,-2,0
57,6,3,71,48,5,48,9,22,13,0,169.231
58,6,2,71,37,4,37,9,15,14,0,107.143
59,0,0,59,0,2,0,0,0,14,-2,0
60,0,0,60,0,2,0,0,0,17,-2,0
61,0,0,59,0,2,0,0,0,16,-2,0
62,6,4,63,41,4,41,10,25,16,-1,156.25
63,0,0,69,0,2,0,0,0,17,-2,0
64,0,0,63,0,2,0,0,0,17,-2,0
65,0,0,58,0,2,0,0,0,17,-2,0
66,4,2,64,36,4,36,9,14,17,0,82.3529
67,3,1,57,34,4,34,8,14,17,-1,82.3529
68,4,2,66,36,5,36,7,16,18,-1,88.8889
69,0,0,63,0,2,0,0,0,17,-2,0
70,0,0,66,0,2,0,0,0,18,-2,0
71,3,1,61,17,4,17,4,13,18,0,72.2222
72,3,1,62,17,4,17,4,13,17,0,76.4706
73,3,1,67,18,4,18,4,11,17,0,64.7059
74,5,3,71,47,4,47,11,20,17,0,117.647
75,2,1,75,57,4,57,14,25,18,0,138.889
76,5,4,79,62,4,62,15,24,18,0,133.333
77,5,4,80,65,4,65,16,26,18,0,144.444
78,5,1,74,32,5,32,6,15,18,-1,83.3333
79,4,1,81,20,4,20,5,11,17,0,64.7059
80,4,2,85,46,5,46,9,18,17,-1,105.882
81,4,1,81,39,6,39,6,20,16,0,125
82,4,1,81,41,6,41,6,15,16,0,93.75
83,0,0,79,0,2,0,0,0,16,-2,0
84,0,0,87,0,2,0,0,0,16,-2,0
