Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,10,3,96,33,3,33,11,21,8,-1,262.5
2,15,5,111,44,4,44,11,23,9,-2,255.556
3,10,5,104,32,4,32,8,20,9,0,222.222
4,7,4,98,23,6,23,3,11,9,4,122.222
5,9,5,102,28,4,28,7,5,9,4,55.5556
6,7,2,86,8,3,8,2,3,9,0,33.3333
7,1,1,98,44,4,44,11,17,8,-1,212.5
8,5,3,121,6,3,6,2,4,9,4,44.4444
9,4,2,123,27,3,27,9,16,9,-1,177.778
10,5,2,121,37,4,37,9,20,8,0,250
11,0,0,110,0,2,0,0,12,8,4,150
12,7,4,123,9,4,9,2,5,8,4,62.5
13,7,4,105,62,4,62,15,24,8,-1,300
14,0,0,109,0,2,0,0,0,8,-2,0
15,0,0,106,0,2,0,0,0,7,-2,0
16,0,0,90,0,2,0,0,0,8,-2,0
17,15,5,112,28,3,28,9,13,8,0,162.5
18,14,6,119,66,10,66,6,23,8,4,287.5
19,11,3,123,56,4,56,14,30,7,-1,428.571
20,14,7,157,76,19,76,4,21,7,4,300
21,8,2,140,56,4,56,14,31,8,-1,387.5
22,9,5,219,74,4,74,18,39,8,0,487.5
23,8,4,197,106,16,106,6,39,8,4,487.5
24,8,2,89,39,4,39,9,20,8,0,250
25,7,3,105,22,4,22,5,15,7,0,214.286
26,0,0,117,0,2,0,0,0,7,-2,0
27,0,0,120,0,2,0,0,0,7,-2,0
28,0,0,119,0,2,0,0,0,7,-2,0
29,0,0,137,0,2,0,0,0,7,-2,0
30,0,0,115,0,2,0,0,0,7,-2,0
31,0,0,110,0,2,0,0,0,7,-2,0
32,0,0,114,0,2,0,0,0,7,-2,0
33,0,0,97,0,2,0,0,0,7,-2,0
34,0,0,96,0,2,0,0,0,7,-2,0
35,11,4,108,32,4,32,8,18,6,0,300
36,25,18,248,160,4,160,40,73,6,0,1216.67
37,23,1,297,31,4,31,7,12,6,0,200
38,28,9,240,91,20,91,4,27,6,4,450
