Frame #,Box Est.,Actual, Accuracy
1,39,0,0
2,5,0,0
3,4,0,0
4,15,0,0
5,17,0,0
6,18,0,0
7,19,0,0
8,19,0,0
9,22,0,0
10,40,0,0
11,19,0,0
12,20,0,0
13,10,0,0
14,18,0,0
15,19,0,0
16,19,0,0
17,16,0,0
18,23,0,0
19,32,0,0
20,18,0,0
21,16,0,0
22,18,0,0
23,15,0,0
24,23,0,0
25,29,0,0
26,19,0,0
27,21,0,0
28,31,0,0
29,18,0,0
30,9,0,0
31,1,0,0
32,8,0,0
33,14,0,0
34,23,0,0
35,22,0,0
36,26,0,0
37,25,0,0
38,21,0,0
39,21,0,0
40,35,0,0
41,22,0,0
42,21,0,0
43,21,0,0
44,19,0,0
45,56,0,0
46,25,0,0
47,23,0,0
48,26,0,0
49,18,0,0
50,18,0,0
51,22,0,0
52,7,0,0
53,52,0,0
54,20,0,0
55,96,0,0
56,17,0,0
57,17,0,0
58,18,0,0
59,17,0,0
60,18,0,0
61,259,0,0
62,22,0,0
63,23,0,0
64,23,0,0
65,35,0,0
66,7,0,0
67,19,0,0
68,28,0,0
69,27,0,0
70,32,0,0
71,17,0,0
72,29,0,0
73,71,0,0
74,14,0,0
75,25,0,0
76,31,0,0
77,20,0,0
78,23,0,0
79,23,0,0
80,30,0,0
81,20,0,0
82,75,0,0
83,25,0,0
84,22,0,0
85,1,0,0
86,25,0,0
87,0,0,0
88,24,0,0
89,0,0,0
90,174,0,0
91,16,0,0
92,44,0,0
93,22,0,0
94,22,0,0
95,31,0,0
96,20,0,0
97,17,0,0
98,145,0,0
99,16,0,0
100,16,0,0
101,24,0,0
102,22,0,0
103,17,0,0
104,14,0,0
105,14,0,0
106,12,0,0
107,8,0,0
108,4,0,0
109,0,0,0
110,3,0,0
111,11,0,0
112,0,0,0
113,11,0,0
114,11,0,0
115,3,0,0
116,0,0,0
117,0,0,0
