Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,17,15,161,116,8,116,14,53,12,2,441.667
2,22,19,166,92,13,92,7,26,10,4,260
3,20,14,171,61,10,61,6,16,10,2,160
4,20,19,177,115,14,115,8,18,9,2,200
5,20,18,175,104,14,104,7,21,9,2,233.333
6,20,18,170,113,15,113,7,22,9,2,244.444
7,23,17,182,83,12,83,6,20,11,2,181.818
8,26,18,188,83,12,83,6,28,11,4,254.545
9,24,19,175,98,16,98,6,25,9,2,277.778
10,24,18,176,93,16,93,5,24,9,4,266.667
11,24,22,178,95,18,95,5,20,9,4,222.222
12,25,19,193,84,14,84,6,14,10,4,140
13,24,17,185,72,13,72,5,27,9,4,300
14,25,22,198,117,8,117,14,45,12,4,375
15,30,29,210,179,10,179,17,57,12,4,475
16,23,19,206,130,8,130,16,50,11,2,454.545
17,26,19,207,105,14,105,7,21,10,2,210
18,25,20,211,103,17,103,6,28,12,4,233.333
19,25,20,207,110,14,110,7,20,10,4,200
20,23,21,195,132,10,132,13,52,11,0,472.727
21,24,17,191,102,15,102,6,20,17,2,117.647
22,23,18,190,87,15,87,5,27,10,4,270
23,23,17,199,78,13,78,6,21,11,2,190.909
24,23,19,200,96,14,96,6,25,11,4,227.273
25,23,19,195,90,14,90,6,34,12,0,283.333
26,25,21,218,123,16,123,7,21,12,4,175
27,23,20,240,107,15,107,7,37,13,4,284.615
28,23,17,239,132,14,132,9,17,13,0,130.769
29,23,15,238,115,12,115,9,16,13,0,123.077
30,23,18,232,106,13,106,8,26,14,2,185.714
31,20,18,233,108,13,108,8,25,13,0,192.308
32,16,12,241,107,11,107,9,30,13,2,230.769
33,18,14,252,133,14,133,9,26,13,4,200
34,20,17,258,155,14,155,11,27,13,4,207.692
35,23,17,235,117,14,117,8,35,13,2,269.231
36,27,22,247,147,16,147,9,34,13,4,261.538
37,23,18,245,129,14,129,9,32,14,4,228.571
38,23,15,232,135,14,135,9,35,13,2,269.231
39,20,14,243,102,13,102,7,19,13,2,146.154
40,22,14,241,123,14,123,8,21,13,2,161.538
