Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,8,8,189,179,4,179,44,100,0,-1,0
2,8,8,188,188,4,188,47,106,0,0,0
3,8,8,180,179,4,179,44,76,0,-2,0
4,8,8,170,170,4,170,42,66,0,-1,0
5,15,15,169,161,6,161,26,103,0,0,0
6,10,10,181,162,8,162,20,81,0,0,0
7,10,8,179,159,7,159,22,81,0,0,0
8,9,9,189,183,4,183,45,77,0,-2,0
9,8,8,194,180,7,180,25,89,0,0,0
10,8,8,215,190,7,190,27,97,0,0,0
11,9,7,189,156,10,156,15,62,0,0,0
12,9,8,188,171,6,171,28,99,0,0,0
13,7,7,195,183,5,183,36,76,0,0,0
14,12,11,163,159,5,159,31,98,0,0,0
15,14,14,170,159,7,159,22,131,0,0,0
16,8,7,179,164,7,164,23,66,0,0,0
17,7,7,194,171,8,171,21,85,0,2,0
18,9,9,159,158,4,158,39,103,0,-1,0
19,6,5,165,143,7,143,20,67,0,0,0
20,6,5,192,88,12,88,7,42,0,4,0
21,9,8,185,180,4,180,45,97,0,-1,0
22,6,6,192,174,5,174,34,62,0,0,0
23,8,7,191,183,5,183,36,92,0,0,0
24,9,9,156,155,4,155,38,79,0,-2,0
25,15,13,191,172,5,172,34,121,0,-1,0
26,15,14,192,176,5,176,35,121,0,0,0
27,11,11,181,162,6,162,27,87,0,0,0
28,9,8,155,130,6,130,21,81,0,0,0
29,7,7,173,154,7,154,22,83,0,0,0
30,6,6,180,160,5,160,32,73,0,-1,0
31,6,6,179,159,5,159,31,73,0,-1,0
32,9,8,180,147,5,147,29,68,0,0,0
33,7,6,142,137,4,137,34,70,0,-2,0
34,13,13,162,161,4,161,40,127,0,-1,0
35,12,10,197,175,7,175,25,124,0,0,0
36,10,8,194,172,7,172,24,115,0,0,0
37,6,6,154,148,4,148,37,86,0,0,0
38,8,8,160,151,6,151,25,74,0,0,0
39,12,11,190,160,5,160,32,86,0,0,0
40,11,9,191,165,7,165,23,101,0,0,0
41,9,9,181,164,5,164,32,83,0,0,0
42,9,6,171,109,12,109,9,50,0,2,0
43,10,10,184,173,8,173,21,94,0,0,0
44,10,8,166,140,7,140,20,70,0,0,0
45,15,13,190,176,6,176,29,118,0,0,0
46,13,13,174,174,4,174,43,105,0,-1,0
