Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,0,0,143,0,2,0,0,0,92,-2,0
2,0,0,147,0,2,0,0,0,92,-2,0
3,0,0,127,0,2,0,0,2,0,-1,0
4,0,0,144,0,2,0,0,2,92,0,2.17391
5,0,0,120,0,2,0,0,0,91,-2,0
6,0,0,124,0,2,0,0,0,99,-2,0
7,0,0,152,0,2,0,0,2,96,-2,2.08333
8,0,0,105,0,2,0,0,0,98,-2,0
9,0,0,143,0,2,0,0,2,98,-1,2.04082
10,0,0,135,0,2,0,0,2,94,-1,2.12766
11,0,0,140,0,2,0,0,0,96,-2,0
12,0,0,152,0,2,0,0,2,99,-1,2.0202
13,0,0,158,0,2,0,0,2,101,0,1.9802
14,0,0,154,0,2,0,0,2,117,-1,1.7094
15,0,0,143,0,2,0,0,10,96,4,10.4167
16,2,1,164,76,4,76,19,56,105,0,53.3333
17,0,0,155,0,2,0,0,2,101,0,1.9802
18,0,0,155,0,2,0,0,2,101,0,1.9802
19,3,1,150,21,5,21,4,15,100,4,15
20,0,0,147,0,2,0,0,11,96,4,11.4583
21,4,2,143,66,3,66,22,3,96,-2,3.125
22,2,2,149,81,3,81,27,5,101,-2,4.9505
23,0,0,153,0,2,0,0,0,96,-2,0
24,0,0,128,0,2,0,0,0,91,-2,0
25,0,0,144,0,2,0,0,0,93,-2,0
26,2,2,144,53,4,53,13,36,92,-1,39.1304
27,0,0,144,0,2,0,0,2,92,-1,2.17391
28,0,0,127,0,2,0,0,9,95,4,9.47368
29,0,0,125,0,2,0,0,0,96,-2,0
30,4,1,131,62,4,62,15,41,92,-1,44.5652
31,0,0,121,0,2,0,0,0,91,-2,0
32,7,1,122,29,4,29,7,25,90,0,27.7778
33,2,1,147,60,4,60,15,47,87,-2,54.023
34,0,0,122,0,2,0,0,2,90,-1,2.22222
35,0,0,128,0,2,0,0,2,87,-1,2.29885
36,0,0,126,0,2,0,0,0,88,-2,0
37,0,0,125,0,2,0,0,0,88,-2,0
38,0,0,122,0,2,0,0,0,90,-2,0
39,0,0,129,0,2,0,0,0,90,-2,0
40,1,1,134,9,3,9,3,9,86,-1,10.4651
41,0,0,142,0,2,0,0,0,88,-2,0
42,0,0,142,0,2,0,0,0,87,-2,0
43,0,0,128,0,2,0,0,0,89,-2,0
44,0,0,132,0,2,0,0,0,82,-2,0
45,0,0,125,0,2,0,0,0,87,-2,0
46,0,0,118,0,2,0,0,0,87,-2,0
47,1,1,88,35,4,35,8,30,87,-2,34.4828
48,2,1,124,34,4,34,8,26,92,0,28.2609
49,1,1,126,59,4,59,14,43,94,-2,45.7447
50,0,0,135,0,2,0,0,0,92,-2,0
51,0,0,113,0,2,0,0,0,91,-2,0
52,0,0,101,0,2,0,0,0,94,-2,0
53,3,1,121,19,3,19,6,17,95,-1,17.8947
54,0,0,131,0,2,0,0,0,99,-2,0
55,0,0,93,0,2,0,0,0,100,-2,0
56,0,0,97,0,2,0,0,0,92,-2,0
57,0,0,115,0,2,0,0,2,94,0,2.12766
58,0,0,121,0,2,0,0,0,94,-2,0
59,0,0,123,0,2,0,0,0,94,-2,0
60,0,0,112,0,2,0,0,0,88,-2,0
61,0,0,109,0,2,0,0,0,91,-2,0
62,0,0,95,0,2,0,0,0,91,-2,0
63,0,0,122,0,2,0,0,0,91,-2,0
64,0,0,101,0,2,0,0,0,90,-2,0
65,0,0,99,0,2,0,0,0,84,-2,0
66,0,0,82,0,2,0,0,0,84,-2,0
67,0,0,119,0,2,0,0,0,90,-2,0
68,0,0,126,0,2,0,0,2,94,-2,2.12766
69,0,0,114,0,2,0,0,0,93,-2,0
70,0,0,99,0,2,0,0,0,93,-2,0
71,0,0,59,0,2,0,0,0,95,-2,0
72,0,0,78,0,2,0,0,0,98,-2,0
73,0,0,105,0,2,0,0,0,99,-2,0
74,0,0,94,0,2,0,0,0,100,-2,0
75,0,0,78,0,2,0,0,0,97,-2,0
76,0,0,72,0,2,0,0,0,101,-2,0
77,0,0,80,0,2,0,0,0,103,-2,0
78,0,0,98,0,2,0,0,0,100,-2,0
79,0,0,86,0,2,0,0,2,106,-2,1.88679
80,1,1,82,35,3,35,11,31,111,0,27.9279
81,0,0,84,0,2,0,0,0,107,-2,0
82,0,0,86,0,2,0,0,0,111,-2,0
83,0,0,101,0,2,0,0,0,110,-2,0
84,0,0,82,0,2,0,0,0,110,-2,0
85,0,0,94,0,2,0,0,0,111,-2,0
86,0,0,83,0,2,0,0,0,110,-2,0
87,0,0,75,0,2,0,0,0,114,-2,0
88,0,0,89,0,2,0,0,0,114,-2,0
89,0,0,93,0,2,0,0,0,113,-2,0
90,0,0,78,0,2,0,0,0,114,-2,0
91,0,0,79,0,2,0,0,0,113,-2,0
92,0,0,77,0,2,0,0,0,114,-2,0
93,0,0,111,0,2,0,0,0,116,-2,0
94,0,0,113,0,2,0,0,0,116,-2,0
95,1,1,110,50,4,50,12,46,116,-1,39.6552
96,1,1,94,7,3,7,2,7,114,0,6.14035
97,0,0,102,0,2,0,0,0,115,-2,0
98,0,0,114,0,2,0,0,0,115,-2,0
99,0,0,83,0,2,0,0,0,115,-2,0
100,0,0,85,0,2,0,0,0,119,-2,0
101,0,0,85,0,2,0,0,0,114,-2,0
102,0,0,96,0,2,0,0,0,116,-2,0
103,0,0,90,0,2,0,0,0,121,-2,0
