Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,0,0,36,0,2,0,0,0,12,-2,0
2,5,4,31,21,4,21,5,13,10,-1,130
3,0,0,33,0,2,0,0,0,10,-2,0
4,0,0,35,0,2,0,0,0,9,-2,0
5,0,0,35,0,2,0,0,0,9,-2,0
6,0,0,33,0,2,0,0,0,9,-2,0
7,0,0,36,0,2,0,0,0,11,-2,0
8,0,0,36,0,2,0,0,0,11,-2,0
9,0,0,34,0,2,0,0,0,9,-2,0
10,0,0,38,0,2,0,0,0,9,-2,0
11,0,0,40,0,2,0,0,0,9,-2,0
12,0,0,42,0,2,0,0,0,10,-2,0
13,0,0,40,0,2,0,0,0,9,-2,0
14,0,0,43,0,2,0,0,0,12,-2,0
15,0,0,57,0,2,0,0,0,12,-2,0
16,7,2,48,15,4,15,3,8,11,0,72.7273
17,9,2,51,15,4,15,3,8,10,0,80
18,7,4,48,30,5,30,6,9,12,-1,75
19,0,0,48,0,2,0,0,0,10,-2,0
20,0,0,47,0,2,0,0,0,11,-2,0
21,0,0,52,0,2,0,0,0,17,-2,0
22,6,4,59,38,10,38,3,9,10,4,90
23,6,3,56,20,4,20,5,7,11,-1,63.6364
24,6,5,56,34,10,34,3,10,11,4,90.9091
25,0,0,58,0,2,0,0,0,12,-2,0
26,0,0,58,0,2,0,0,0,12,-2,0
27,5,3,59,32,9,32,3,9,13,4,69.2308
28,0,0,60,0,2,0,0,0,13,-2,0
29,0,0,60,0,2,0,0,0,13,-2,0
30,0,0,54,0,2,0,0,0,14,-2,0
31,0,0,53,0,2,0,0,0,13,-2,0
32,0,0,53,0,2,0,0,0,13,-2,0
33,5,1,64,20,4,20,5,8,13,0,61.5385
34,6,1,65,20,4,20,5,8,13,0,61.5385
35,7,2,63,18,4,18,4,8,13,0,61.5385
36,9,3,63,21,4,21,5,10,13,0,76.9231
37,0,0,68,0,2,0,0,0,14,-2,0
38,7,2,67,25,4,25,6,10,13,0,76.9231
39,0,0,62,0,2,0,0,0,13,-2,0
40,0,0,63,0,2,0,0,0,13,-2,0
41,6,6,63,42,4,42,10,23,13,-1,176.923
42,0,0,64,0,2,0,0,0,13,-2,0
43,0,0,64,0,2,0,0,0,13,-2,0
44,6,6,73,48,4,48,12,23,13,0,176.923
45,8,2,69,19,4,19,4,9,13,-1,69.2308
46,8,2,64,20,4,20,5,9,13,0,69.2308
47,6,3,54,27,4,27,6,19,14,0,135.714
48,6,5,55,45,4,45,11,27,14,0,192.857
49,6,2,64,17,4,17,4,9,14,0,64.2857
50,0,0,66,0,2,0,0,0,14,-2,0
51,4,4,62,59,4,59,14,41,14,0,292.857
52,6,4,67,33,5,33,6,17,14,-1,121.429
53,6,4,67,41,5,41,8,19,13,-1,146.154
54,6,3,70,29,4,29,7,15,13,-1,115.385
55,5,3,69,44,6,44,7,14,13,0,107.692
56,0,0,63,0,2,0,0,0,14,-2,0
57,5,5,69,56,4,56,14,36,13,-1,276.923
58,6,6,71,62,4,62,15,33,14,0,235.714
59,0,0,59,0,2,0,0,0,14,-2,0
60,4,2,59,46,4,46,11,19,17,0,111.765
61,0,0,59,0,2,0,0,0,16,-2,0
62,6,4,63,41,4,41,10,25,16,-1,156.25
63,8,5,69,52,4,52,13,38,17,0,223.529
64,5,2,64,30,4,30,7,18,17,-1,105.882
65,0,0,58,0,2,0,0,0,17,-2,0
66,4,4,62,53,4,53,13,23,17,-1,135.294
67,3,1,56,34,4,34,8,14,17,-1,82.3529
68,4,2,65,36,5,36,7,16,18,-1,88.8889
69,3,2,67,28,4,28,7,16,17,0,94.1176
70,3,2,66,53,4,53,13,20,18,0,111.111
71,3,1,61,28,4,28,7,17,18,0,94.4444
72,3,2,62,37,4,37,9,22,17,-1,129.412
73,0,0,67,0,2,0,0,0,17,-2,0
74,0,0,66,0,2,0,0,0,17,-2,0
75,2,1,75,57,4,57,14,25,18,0,138.889
76,5,4,79,64,4,64,16,26,18,0,144.444
77,5,4,82,67,4,67,16,27,18,0,150
78,4,1,73,46,4,46,11,20,18,-2,111.111
79,4,3,81,52,4,52,13,23,17,-2,135.294
80,4,3,85,67,11,67,6,20,17,4,117.647
81,4,1,80,31,5,31,6,15,16,0,93.75
82,4,1,80,41,6,41,6,16,16,0,100
83,0,0,79,0,2,0,0,0,16,-2,0
84,0,0,87,0,2,0,0,0,16,-2,0
85,5,4,82,53,6,53,8,17,16,0,106.25
86,4,3,84,71,10,71,7,20,16,4,125
87,7,1,86,41,5,41,8,15,16,0,93.75
88,4,3,77,41,5,41,8,20,16,-1,125
89,5,1,80,57,4,57,14,23,16,-1,143.75
90,5,2,75,43,5,43,8,22,16,0,137.5
91,5,3,83,63,4,63,15,29,16,0,181.25
92,4,2,79,50,4,50,12,24,16,-1,150
93,5,2,77,52,4,52,13,22,16,-1,137.5
94,4,2,86,59,4,59,14,24,16,0,150
95,0,0,80,0,2,0,0,3,16,0,18.75
96,0,0,80,0,2,0,0,3,16,0,18.75
97,0,0,79,0,2,0,0,2,16,0,12.5
98,4,2,79,61,10,61,6,15,17,4,88.2353
99,4,1,80,29,5,29,5,17,16,0,106.25
100,4,2,83,50,4,50,12,21,16,0,131.25
101,0,0,84,0,2,0,0,3,16,0,18.75
102,5,3,88,41,6,41,6,20,16,0,125
103,0,0,74,0,2,0,0,4,16,0,25
104,5,3,87,58,5,58,11,22,19,-2,115.789
105,5,3,89,48,6,48,8,25,17,0,147.059
106,5,3,88,47,6,47,7,25,17,0,147.059
107,5,3,93,50,5,50,10,28,18,-1,155.556
108,5,4,99,78,4,78,19,42,24,0,175
109,4,1,76,45,4,45,11,28,19,-1,147.368
110,4,1,75,38,4,38,9,23,19,-1,121.053
111,0,0,79,0,2,0,0,2,19,-1,10.5263
112,2,2,79,25,3,25,8,3,19,-1,15.7895
113,0,0,79,0,2,0,0,2,18,0,11.1111
114,4,1,93,37,5,37,7,17,17,0,100
115,4,2,89,36,5,36,7,19,17,0,111.765
116,5,4,97,86,4,86,21,52,16,0,325
117,5,3,94,66,4,66,16,27,16,0,168.75
118,5,2,79,41,5,41,8,24,17,-1,141.176
119,4,1,83,34,4,34,8,20,17,-1,117.647
120,4,3,83,60,4,60,15,31,17,-1,182.353
121,2,2,75,42,3,42,14,1,17,-1,5.88235
