Frame #,Box Est.,Actual, Accuracy
1,376,432,87.037
2,370,435,85.0575
3,369,442,83.4842
4,365,447,81.6555
5,66,444,14.8649
6,377,441,85.4875
7,369,443,83.2957
8,195,430,45.3488
9,371,435,85.2874
10,292,432,67.5926
11,247,414,59.6618
12,253,431,58.7007
13,305,429,71.0956
14,315,425,74.1176
15,313,426,73.4742
16,374,411,90.9976
17,279,409,68.2152
18,337,401,84.0399
19,291,416,69.9519
20,287,418,68.6603
21,275,408,67.402
22,238,422,56.3981
23,265,418,63.3971
24,377,410,91.9512
25,336,416,80.7692
26,282,410,68.7805
27,376,409,91.9315
28,275,409,67.2372
29,277,397,69.7733
30,260,401,64.8379
31,370,401,92.2693
32,273,404,67.5743
33,264,395,66.8354
34,310,389,79.6915
35,207,390,53.0769
36,353,381,92.6509
37,356,378,94.1799
38,324,376,86.1702
39,289,371,77.8976
40,359,376,95.4787
41,279,366,76.2295
42,357,367,97.2752
43,317,359,88.3008
44,335,348,96.2644
45,152,343,44.3149
46,202,351,57.5499
47,298,341,87.39
48,263,329,79.9392
49,284,329,86.3222
50,311,329,94.5289
51,117,323,36.2229
52,279,318,87.7358
53,157,306,51.3072
54,250,304,82.2368
55,170,285,59.6491
56,257,288,89.2361
57,147,289,50.8651
58,253,281,90.0356
59,236,268,88.0597
60,228,257,88.716
61,224,261,85.8238
62,225,262,85.8779
63,207,263,78.7072
64,92,251,36.6534
65,166,245,67.7551
66,221,242,91.3223
67,206,237,86.9198
68,165,228,72.3684
69,180,220,81.8182
70,70,224,31.25
71,177,212,83.4906
72,178,200,89
73,171,196,87.2449
