Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,2,2,517,59,4,59,14,46,0,4,0
2,1,1,531,5,3,5,1,5,0,4,0
3,1,1,532,4,3,4,1,4,0,4,0
4,1,1,554,15,3,15,5,15,0,4,0
5,3,3,532,42,5,42,8,24,0,4,0
6,2,2,548,21,4,21,5,18,0,4,0
7,3,3,556,46,5,46,9,27,0,4,0
8,3,3,557,44,5,44,8,27,0,4,0
9,2,2,555,35,4,35,8,26,0,4,0
10,2,2,530,64,4,64,16,46,0,4,0
11,2,2,549,24,4,24,6,20,0,4,0
12,3,3,569,36,5,36,7,24,0,4,0
13,2,2,579,17,4,17,4,11,0,4,0
14,2,2,586,22,4,22,5,19,0,4,0
15,1,1,570,19,3,19,6,19,0,4,0
16,1,1,552,20,3,20,6,19,0,4,0
17,3,3,568,31,5,31,6,20,0,4,0
18,2,2,570,54,4,54,13,33,0,4,0
19,2,2,577,59,4,59,14,40,0,4,0
20,2,2,583,22,4,22,5,20,0,4,0
21,2,2,589,26,4,26,6,21,0,4,0
22,2,2,584,25,4,25,6,21,0,2,0
23,2,1,559,15,3,15,5,15,0,4,0
24,2,2,572,50,4,50,12,30,0,4,0
25,1,1,578,40,3,40,13,37,0,4,0
26,1,1,569,19,3,19,6,19,0,4,0
27,1,1,575,21,3,21,7,21,0,4,0
28,2,2,593,38,4,38,9,32,0,4,0
29,2,2,584,24,4,24,6,21,0,4,0
30,2,2,607,13,4,13,3,11,0,4,0
31,1,1,590,3,3,3,1,3,0,4,0
32,1,1,590,20,3,20,6,18,0,4,0
33,2,1,594,27,3,27,9,22,0,4,0
34,2,2,601,46,4,46,11,34,0,4,0
35,2,2,600,33,4,33,8,27,0,4,0
36,2,2,601,47,4,47,11,32,0,4,0
37,3,2,583,38,4,38,9,28,0,4,0
38,3,2,603,32,4,32,8,24,0,4,0
39,3,2,602,41,4,41,10,27,0,4,0
40,2,1,594,36,3,36,12,35,0,4,0
41,1,1,607,22,3,22,7,22,0,4,0
42,1,1,619,21,3,21,7,21,0,4,0
43,1,1,616,22,3,22,7,21,0,4,0
44,2,2,629,25,4,25,6,19,0,4,0
45,2,2,629,74,4,74,18,58,0,4,0
46,2,1,636,29,3,29,9,25,0,4,0
47,2,2,614,52,4,52,13,32,0,2,0
48,2,1,620,26,3,26,8,26,0,4,0
49,2,2,588,26,4,26,6,20,0,2,0
50,2,2,581,27,4,27,6,21,0,4,0
51,3,2,590,33,4,33,8,26,0,4,0
52,3,1,597,10,3,10,3,10,0,4,0
53,3,2,598,77,4,77,19,57,0,2,0
54,2,2,603,52,4,52,13,28,0,4,0
55,3,3,601,202,4,202,50,162,0,4,0
