Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,16,12,213,79,7,79,11,23,25,2,92
2,9,9,204,125,5,125,25,42,23,2,182.609
3,17,16,190,166,4,166,41,58,21,0,276.19
4,12,12,188,182,4,182,45,51,18,-1,283.333
5,13,12,168,124,4,124,31,41,18,0,227.778
6,12,11,146,118,5,118,23,33,21,0,157.143
7,9,9,144,114,5,114,22,36,17,0,211.765
8,10,10,143,143,4,143,35,27,18,-2,150
9,6,6,152,36,6,36,6,13,17,2,76.4706
10,9,7,160,96,5,96,19,29,17,4,170.588
11,12,12,153,106,7,106,15,28,16,2,175
12,8,8,134,130,4,130,32,32,15,-2,213.333
13,8,8,129,122,4,122,30,33,15,-1,220
14,9,8,121,97,4,97,24,25,16,0,156.25
15,10,9,117,111,4,111,27,23,18,-2,127.778
16,10,9,117,112,4,112,28,21,17,-2,123.529
17,8,8,107,98,4,98,24,24,14,-1,171.429
18,2,2,96,55,3,55,18,19,14,-1,135.714
19,2,2,110,106,4,106,26,21,16,-2,131.25
20,3,2,112,64,3,64,21,24,16,0,150
21,2,1,110,64,3,64,21,25,15,2,166.667
22,4,4,122,91,4,91,22,27,14,2,192.857
23,4,4,99,99,4,99,24,23,14,-2,164.286
24,5,4,95,28,4,28,7,15,14,4,107.143
25,7,6,92,83,4,83,20,22,18,-1,122.222
26,7,7,90,70,5,70,14,25,14,0,178.571
27,5,5,69,55,4,55,13,23,13,0,176.923
28,3,2,64,39,3,39,13,17,12,0,141.667
29,4,4,72,72,4,72,18,18,11,-2,163.636
30,3,2,81,46,3,46,15,14,11,0,127.273
31,3,3,79,77,4,77,19,17,9,-1,188.889
32,4,4,90,71,4,71,17,18,13,0,138.462
33,4,4,81,58,4,58,14,15,9,0,166.667
34,4,4,71,50,4,50,12,19,9,0,211.111
35,4,4,66,58,4,58,14,21,9,0,233.333
36,4,4,59,52,4,52,13,14,9,0,155.556
37,4,4,45,45,4,45,11,15,9,0,166.667
38,4,4,35,34,4,34,8,12,9,-1,133.333
39,5,5,50,50,4,50,12,13,13,-1,100
40,5,5,51,51,4,51,12,13,8,-2,162.5
41,7,7,50,50,4,50,12,12,8,-2,150
42,8,7,57,44,4,44,11,11,12,0,91.6667
43,7,7,48,33,4,33,8,13,8,0,162.5
44,8,7,47,37,4,37,9,13,8,0,162.5
45,9,9,50,50,4,50,12,16,8,-2,200
46,7,7,48,48,4,48,12,15,9,-2,166.667
47,8,7,44,35,4,35,8,13,8,0,162.5
48,7,6,47,33,4,33,8,14,7,0,200
49,11,11,38,38,4,38,9,13,7,0,185.714
50,11,11,38,38,4,38,9,13,7,-1,185.714
51,12,12,48,41,4,41,10,14,7,-1,200
52,12,11,45,39,4,39,9,14,7,0,200
53,8,8,39,38,4,38,9,11,7,-2,157.143
54,8,8,34,34,4,34,8,14,6,-2,233.333
55,14,14,41,41,4,41,10,11,7,-2,157.143
56,15,15,39,38,4,38,9,13,6,-2,216.667
57,16,16,48,47,4,47,11,16,7,-1,228.571
58,16,14,43,37,5,37,7,12,6,0,200
59,16,16,39,38,6,38,6,10,5,0,200
60,14,13,38,37,4,37,9,14,5,-2,280
61,15,15,38,38,5,38,7,12,5,-2,240
62,15,15,41,40,6,40,6,9,5,0,180
63,17,17,36,36,5,36,7,14,5,-1,280
64,17,17,35,35,4,35,8,14,5,-1,280
65,13,13,30,26,4,26,6,9,6,0,150
66,15,15,31,31,4,31,7,12,4,-2,300
67,13,13,35,35,4,35,8,12,4,-2,300
68,12,12,35,35,4,35,8,12,4,-1,300
69,12,12,35,35,4,35,8,12,5,-1,240
70,10,8,33,26,4,26,6,11,5,-1,220
71,13,13,32,32,4,32,8,10,4,-1,250
72,12,7,32,16,4,16,4,8,4,0,200
73,12,12,35,34,4,34,8,14,4,-1,350
74,12,9,35,26,5,26,5,13,4,-1,325
75,11,11,36,35,4,35,8,13,4,-2,325
76,12,12,35,34,4,34,8,15,4,0,375
77,10,10,29,24,4,24,6,9,4,0,225
78,9,9,26,26,4,26,6,15,4,-2,375
79,9,9,24,23,4,23,5,11,4,-2,275
80,6,6,22,21,4,21,5,10,5,-1,200
81,6,6,20,20,4,20,5,8,4,-1,200
82,4,4,21,21,4,21,5,8,4,-1,200
83,6,6,17,17,4,17,4,5,6,-2,83.3333
84,7,7,19,19,5,19,3,8,3,0,266.667
85,6,6,18,18,4,18,4,8,3,-2,266.667
86,8,8,20,19,4,19,4,6,3,-1,200
87,7,7,17,17,4,17,4,12,3,-2,400
88,7,7,18,18,4,18,4,12,3,0,400
89,10,10,19,19,4,19,4,13,3,0,433.333
90,9,9,23,23,4,23,5,12,3,-2,400
91,9,8,14,13,4,13,3,6,3,-2,200
92,10,9,17,16,4,16,4,10,2,0,500
93,10,9,17,16,4,16,4,10,2,0,500
94,9,9,14,14,4,14,3,8,2,-1,400
95,8,8,13,11,5,11,2,4,2,-1,200
96,13,13,17,17,4,17,4,8,6,-2,133.333
97,12,12,16,16,4,16,4,7,2,-2,350
98,12,12,16,16,4,16,4,7,2,-1,350
99,13,12,20,19,4,19,4,12,2,-2,600
100,15,9,21,15,5,15,3,4,2,-1,200
101,16,16,20,20,4,20,5,8,2,-2,400
102,12,10,22,19,5,19,3,7,2,-1,350
103,21,19,32,26,4,26,6,9,2,0,450
104,17,12,28,22,4,22,5,9,2,0,450
105,14,11,28,25,4,25,6,11,2,-1,550
106,19,12,33,25,5,25,5,9,2,0,450
107,25,17,46,36,6,36,6,14,2,0,700
108,32,30,50,47,7,47,6,19,2,0,950
109,26,22,36,32,6,32,5,16,2,0,800
110,26,19,38,30,6,30,5,17,2,0,850
111,23,22,32,31,4,31,7,16,2,0,800
112,23,20,32,29,4,29,7,19,2,0,950
113,22,20,35,31,5,31,6,19,2,0,950
114,18,16,29,27,4,27,6,15,3,0,500
115,17,14,30,27,5,27,5,12,2,0,600
116,18,14,31,25,5,25,5,17,2,-2,850
117,18,14,31,26,4,26,6,21,2,-2,1050
118,16,15,31,30,6,30,5,15,2,0,750
119,20,20,35,35,5,35,7,17,2,0,850
120,3,3,29,21,4,21,5,9,2,0,450
121,6,6,28,25,5,25,5,5,2,0,250
122,6,6,28,25,5,25,5,5,2,0,250
123,3,3,27,16,4,16,4,3,2,0,150
124,3,3,23,18,3,18,6,7,2,-1,350
125,3,2,22,5,3,5,1,3,2,0,150
126,3,3,22,22,4,22,5,6,2,-2,300
127,6,6,28,26,4,26,6,8,2,-2,400
128,3,3,26,21,3,21,7,12,2,0,600
129,0,0,26,0,2,0,0,0,2,-2,0
130,6,5,37,32,4,32,8,10,2,-1,500
131,9,8,26,25,4,25,6,18,0,0,0
