Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,25,18,131,60,8,60,7,12,0,4,0
2,22,20,132,64,5,64,12,18,0,4,0
3,29,21,145,51,10,51,5,16,0,4,0
4,30,19,142,48,10,48,4,12,0,0,0
5,26,13,133,35,8,35,4,7,0,4,0
6,26,21,138,48,11,48,4,10,0,2,0
7,27,16,135,42,7,42,6,11,0,0,0
8,25,12,133,31,6,31,5,10,0,2,0
9,21,21,132,71,4,71,17,32,0,4,0
10,22,12,134,44,8,44,5,11,0,2,0
11,20,16,126,60,6,60,10,17,0,2,0
12,22,15,129,38,8,38,4,12,0,4,0
13,30,21,141,36,11,36,3,11,0,2,0
14,19,12,128,25,7,25,3,12,0,2,0
15,17,12,138,56,5,56,11,14,0,4,0
16,26,11,142,34,8,34,4,14,0,4,0
17,19,12,131,41,7,41,5,17,0,4,0
18,22,16,138,35,8,35,4,16,0,0,0
19,17,9,129,24,5,24,4,12,0,2,0
20,19,12,147,34,7,34,4,19,0,2,0
21,17,6,138,11,4,11,2,10,0,0,0
22,16,12,135,39,7,39,5,20,0,2,0
23,18,13,147,37,7,37,5,14,0,2,0
24,24,17,148,47,9,47,5,16,0,4,0
25,25,23,146,70,4,70,17,19,0,2,0
26,18,17,140,49,8,49,6,8,0,2,0
27,17,10,149,27,6,27,4,7,0,4,0
28,21,17,152,63,4,63,15,13,0,4,0
29,15,11,143,27,7,27,3,8,0,2,0
30,14,12,142,32,6,32,5,7,0,2,0
31,15,14,150,46,7,46,6,11,0,2,0
32,13,8,148,26,6,26,4,11,0,4,0
33,21,18,147,53,7,53,7,24,0,4,0
34,20,12,169,53,8,53,6,14,0,2,0
35,27,15,173,46,8,46,5,15,0,2,0
36,27,14,173,39,8,39,4,17,0,2,0
37,28,24,164,79,3,79,26,37,0,4,0
38,28,23,171,77,7,77,11,22,0,2,0
39,36,23,174,62,7,62,8,29,0,2,0
40,29,21,180,91,5,91,18,33,0,4,0
41,30,19,171,47,7,47,6,20,0,2,0
42,25,15,174,29,8,29,3,11,0,4,0
43,26,15,179,25,6,25,4,10,0,2,0
44,24,13,182,54,7,54,7,17,0,2,0
45,22,14,170,57,7,57,8,15,0,4,0
46,27,16,180,36,6,36,6,13,0,2,0
47,21,18,177,53,9,53,5,17,0,4,0
48,29,12,178,32,8,32,4,14,0,4,0
49,30,18,164,37,6,37,6,16,0,2,0
50,29,18,172,43,8,43,5,17,0,2,0
51,20,7,159,39,6,39,6,14,0,2,0
52,27,17,173,66,8,66,8,16,0,2,0
53,23,11,164,36,7,36,5,14,0,2,0
54,25,18,162,80,6,80,13,21,0,4,0
55,24,10,170,33,8,33,4,9,0,2,0
56,23,13,165,29,6,29,4,5,0,4,0
57,23,17,173,78,7,78,11,23,0,2,0
58,20,17,181,91,6,91,15,26,0,4,0
59,24,14,173,44,9,44,4,10,0,4,0
60,23,16,174,76,4,76,19,25,0,4,0
61,19,14,180,35,7,35,5,11,0,4,0
62,20,13,181,64,6,64,10,17,0,4,0
63,17,11,174,44,6,44,7,13,0,4,0
64,16,5,181,30,7,30,4,12,0,4,0
65,19,19,194,123,5,123,24,34,0,4,0
66,16,7,188,27,6,27,4,8,0,4,0
67,22,12,185,40,8,40,5,8,0,4,0
68,19,11,180,42,6,42,7,10,0,4,0
69,19,17,172,77,4,77,19,31,0,4,0
70,18,12,170,41,9,41,4,7,0,4,0
71,19,17,168,60,8,60,7,12,0,2,0
72,23,18,170,41,8,41,5,5,0,2,0
73,20,14,166,47,6,47,7,8,0,4,0
74,27,16,169,40,8,40,5,9,0,4,0
75,25,13,154,33,8,33,4,9,0,0,0
76,32,19,156,41,7,41,5,11,0,0,0
77,30,21,144,43,7,43,6,13,0,4,0
78,28,23,138,47,7,47,6,12,0,4,0
79,26,16,139,30,9,30,3,7,0,4,0
80,35,22,131,35,7,35,5,8,0,4,0
81,31,26,126,42,10,42,4,7,0,2,0
82,31,23,122,37,10,37,3,7,0,0,0
83,31,21,125,39,6,39,6,8,0,2,0
84,20,15,119,31,8,31,3,5,0,2,0
85,16,16,118,47,3,47,15,11,0,4,0
86,16,9,117,29,6,29,4,6,0,2,0
87,18,16,119,48,3,48,16,18,0,4,0
88,24,13,126,38,8,38,4,9,0,2,0
89,24,13,130,31,9,31,3,13,0,4,0
90,25,16,131,37,6,37,6,15,0,2,0
