Frame #,Cluster Sum, Cluster Avg., Box Est.
1,179,44,100,58,121,
2,178,44,100,58,120,
3,180,45,76,67,113,
4,169,42,66,105,64,
5,153,38,104,62,91,
6,158,31,93,60,4,94,
7,148,37,76,56,92,
8,187,46,78,112,75,
9,173,34,88,68,4,101,
10,181,45,97,130,51,
11,163,40,97,52,111,
12,164,41,99,52,112,
13,177,44,74,60,117,
14,155,38,97,57,98,
15,147,36,131,57,90,
16,158,31,65,62,8,88,
17,162,40,84,110,52,
18,157,39,102,61,96,
19,129,25,71,87,3,39,
20,116,29,54,56,60,
21,180,45,97,121,59,
22,174,34,62,113,3,58,
23,187,46,93,69,118,
24,147,36,76,54,93,
25,168,42,120,57,111,
26,170,42,123,57,113,
27,166,41,91,62,104,
28,131,32,83,91,40,
29,144,36,81,91,53,
30,161,40,72,113,48,
31,157,39,71,107,50,
32,144,36,68,107,37,
33,142,35,72,50,92,
34,159,39,127,51,108,
35,169,33,123,121,7,41,
36,125,31,108,118,7,
37,85,21,70,82,3,
38,160,40,88,65,95,
39,157,39,86,111,46,
40,154,38,101,55,99,
41,149,37,78,95,54,
42,149,37,76,50,99,
43,157,39,93,109,48,
44,164,41,82,52,112,
45,174,43,118,56,118,
46,159,39,103,111,48,
47,150,37,85,59,91,
48,161,40,84,102,59,
49,127,25,46,5,48,74,
50,129,25,46,5,48,76,
51,143,35,57,56,87,
52,146,29,63,92,3,51,
53,116,23,71,4,109,3,
54,105,26,82,4,101,
55,179,59,124,179,
56,136,34,62,50,86,
57,119,29,65,55,64,
58,145,36,69,57,88,
59,149,37,81,97,52,
60,148,37,79,52,96,
61,151,30,72,104,44,3,
62,137,34,72,98,39,
63,138,34,64,94,44,
64,165,41,91,118,47,
65,193,48,95,132,61,
66,167,33,65,3,113,51,
67,161,40,84,106,55,
68,125,31,56,83,42,
69,159,39,70,53,106,
70,157,39,69,48,109,
71,167,41,79,45,122,
72,168,42,72,113,55,
73,157,31,85,3,54,100,
74,157,31,86,3,54,100,
75,161,32,71,120,3,38,
76,165,41,62,103,62,
77,139,34,56,57,82,
78,99,19,40,3,64,32,
79,138,34,59,90,48,
80,150,37,76,100,50,
81,99,24,54,95,4,
82,140,35,64,49,91,
83,146,29,53,54,3,89,
84,143,28,53,52,3,88,
85,151,30,61,4,46,101,
86,99,24,62,5,94,
87,119,19,51,3,78,4,34,
88,114,22,55,3,81,30,
89,98,24,38,77,21,
90,113,22,58,3,81,29,
91,159,31,76,3,49,107,
92,143,28,63,100,3,40,
93,133,33,61,54,79,
94,50,12,34,47,3,
95,140,35,88,51,89,
96,87,21,40,56,31,
97,113,28,62,39,74,
98,103,20,48,39,4,60,
99,111,27,69,91,20,
100,95,23,60,45,50,
101,116,29,60,43,73,
102,137,34,80,95,42,
103,136,34,78,94,42,
104,157,39,47,49,108,
105,117,29,45,85,32,
106,66,16,35,33,33,
107,49,16,36,49,
108,115,28,52,78,37,
109,126,31,108,44,82,
110,107,26,67,67,40,
111,124,31,86,39,85,
112,143,35,81,48,95,
113,119,29,51,43,76,
114,151,37,49,107,44,
115,163,40,51,43,120,
116,132,33,51,84,48,
117,107,26,41,39,68,
118,117,29,37,43,74,
119,130,26,68,3,42,85,
120,94,23,74,38,56,
121,73,12,40,43,9,7,14,
122,99,24,54,42,57,
123,111,27,44,74,37,
124,115,28,41,86,29,
125,122,30,55,42,80,
126,71,17,40,44,27,
127,88,22,33,72,16,
128,112,28,37,72,40,
129,115,28,79,72,43,
130,68,13,39,42,9,17,
131,95,19,36,10,50,35,
132,96,19,43,10,50,36,
133,94,23,40,40,54,
134,131,32,48,92,39,
135,131,32,38,95,36,
136,156,39,56,49,107,
137,121,30,43,54,67,
138,119,29,36,73,46,
139,80,16,30,3,50,27,
140,122,24,49,9,68,45,
141,94,23,63,47,47,
142,112,28,41,49,63,
143,68,17,33,63,5,
144,131,32,46,88,43,
145,130,32,36,125,5,
146,129,32,36,124,5,
147,136,34,41,37,99,
148,121,30,48,50,71,
149,103,25,36,62,41,
150,50,16,37,50,
151,106,21,43,46,12,48,
152,105,26,67,65,40,
153,95,23,39,42,53,
154,90,22,45,81,9,
155,73,12,34,36,27,4,6,
156,108,27,46,38,70,
157,97,24,44,33,64,
158,113,28,38,39,74,
159,110,27,50,44,66,
160,113,28,49,67,46,
161,106,26,45,50,56,
162,56,14,34,40,16,
163,134,33,69,46,88,
164,104,26,45,50,54,
165,128,32,61,86,42,
166,147,36,65,49,98,
167,156,39,54,106,50,
168,80,20,36,41,39,
169,109,27,35,42,67,
170,113,28,54,72,41,
171,100,25,48,42,58,
172,113,28,60,79,34,
173,88,22,61,83,5,
174,124,31,68,41,83,
175,121,30,62,43,78,
176,125,31,47,38,87,
177,44,14,36,44,
178,140,35,45,44,96,
179,134,33,44,44,90,
180,105,26,42,43,62,
181,98,24,38,58,40,
182,128,32,76,90,38,
183,58,11,36,39,10,9,
184,59,11,36,39,9,11,
185,126,31,66,44,82,
186,57,14,35,39,18,
187,149,37,62,41,108,
188,134,33,43,44,90,
189,113,28,38,34,79,
190,101,25,40,36,65,
191,101,25,43,41,60,
192,93,23,37,58,35,
193,55,13,32,41,14,
194,94,18,39,44,3,47,
195,67,16,41,64,3,
196,119,29,56,47,72,
197,120,30,43,108,12,
198,118,29,43,106,12,
199,133,33,53,94,39,
200,50,16,37,50,
201,94,23,41,56,38,
202,55,13,35,45,10,
203,57,14,33,45,12,
