Frame #,Cluster Sum, Cluster Avg., Box Est.
1,215,19,140,7,6,12,11,33,67,4,14,61,
2,166,16,127,5,7,4,6,11,32,33,68,
3,3070,1023,562,3070,
4,2927,975,558,2927,
5,195,21,140,7,23,10,61,4,78,12,
6,227,25,139,6,63,27,26,3,40,62,
7,237,19,151,5,9,4,32,6,43,29,30,6,73,
8,285,25,175,4,6,49,65,50,5,27,4,75,
9,211,23,144,3,12,25,29,45,17,80,
10,132,16,100,3,5,17,36,19,52,
11,65,13,57,7,36,22,
12,90,18,80,5,61,24,
13,54,10,51,6,32,16,
14,65,13,55,6,31,28,
15,164,23,116,7,44,66,31,16,
16,92,18,79,6,55,31,
17,86,12,68,6,4,40,31,5,
18,60,10,48,6,31,19,4,
19,2921,973,566,2921,
20,124,17,75,9,63,7,25,20,
21,105,17,83,4,38,40,23,
22,297,37,188,4,8,73,95,22,95,
23,231,23,149,4,8,52,13,19,27,87,21,
24,2930,976,569,2930,
25,135,22,106,48,21,26,40,
26,2938,979,542,2938,
27,127,25,99,61,51,15,
28,240,30,151,5,70,37,50,21,57,
29,230,20,138,6,4,59,6,22,37,35,5,56,
30,2949,983,540,2949,
31,2996,998,528,2996,
32,2997,999,527,2997,
33,2933,977,529,2933,
34,213,26,140,29,59,5,30,45,45,
35,160,17,99,7,4,29,28,40,29,23,
36,269,26,159,5,5,61,29,40,12,86,31,
37,309,34,168,6,61,4,54,85,25,74,
38,198,22,102,3,10,23,29,46,26,61,
39,2912,970,554,2912,
40,2908,727,551,2905,3,
41,252,21,151,3,6,5,3,34,44,23,3,103,28,
42,251,20,150,3,6,5,3,34,44,23,3,102,28,
43,304,25,162,5,4,5,56,10,32,62,18,54,58,
44,248,27,150,23,45,32,7,43,32,66,
45,354,39,192,68,74,18,52,104,25,13,
46,321,29,176,3,12,3,29,45,45,37,105,42,
47,246,22,151,10,60,8,18,31,21,3,30,65,
48,274,22,166,10,17,49,10,5,57,7,31,85,3,
49,234,26,158,70,14,19,36,4,74,17,
50,276,25,147,4,13,24,61,41,35,39,10,49,
51,252,21,138,4,11,13,14,56,45,58,10,38,3,
52,377,31,192,3,9,74,8,50,26,104,9,36,58,
53,2834,708,541,2831,3,
54,2765,921,567,2765,
55,2870,956,544,2870,
56,2870,956,544,2870,
57,271,33,158,70,57,7,26,31,80,
58,229,25,147,13,3,68,8,84,15,38,
59,332,33,182,21,43,89,3,42,119,6,9,
60,295,32,159,8,9,61,7,29,73,108,
61,316,35,173,8,67,10,40,7,75,109,
62,228,25,138,10,44,30,103,20,3,18,
63,2931,977,544,2931,
64,2921,973,532,2921,
65,2936,978,561,2936,
66,228,22,154,20,7,63,38,4,20,69,7,
67,183,22,137,7,75,6,4,25,66,
68,2814,938,547,2814,
69,260,26,160,3,3,117,20,72,4,34,7,
70,193,24,146,6,14,3,42,123,5,
71,238,29,137,4,41,3,66,15,109,
72,230,28,161,7,22,57,5,21,118,
73,183,26,141,4,65,7,18,89,
74,196,24,142,3,5,52,6,106,24,
75,187,26,84,81,4,41,13,48,
76,219,24,143,15,3,44,15,35,42,65,
77,218,36,146,58,64,80,16,
78,2583,861,544,2583,
