Frame #,Box Est.,Actual, Accuracy
1,17,25,68
2,24,23,104.348
3,25,21,119.048
4,20,18,111.111
5,21,18,116.667
6,18,21,85.7143
7,19,17,111.765
8,15,18,83.3333
9,13,17,76.4706
10,19,17,111.765
11,17,16,106.25
12,19,15,126.667
13,12,15,80
14,11,16,68.75
15,17,18,94.4444
16,16,17,94.1176
17,17,14,121.429
18,17,14,121.429
19,14,16,87.5
20,14,16,87.5
21,15,15,100
22,19,14,135.714
23,15,14,107.143
24,12,14,85.7143
25,15,18,83.3333
26,19,14,135.714
27,13,13,100
28,12,12,100
29,10,11,90.9091
30,11,11,100
31,10,9,111.111
32,13,13,100
33,11,9,122.222
34,14,9,155.556
35,16,9,177.778
36,10,9,111.111
37,13,9,144.444
38,9,9,100
39,11,13,84.6154
40,10,8,125
41,9,8,112.5
42,9,12,75
43,8,8,100
44,8,8,100
45,9,8,112.5
46,9,9,100
47,7,8,87.5
48,6,7,85.7143
49,8,7,114.286
50,8,7,114.286
51,8,7,114.286
52,9,7,128.571
53,8,7,114.286
54,8,6,133.333
55,6,7,85.7143
56,6,6,100
57,7,7,100
58,7,6,116.667
59,6,5,120
60,6,5,120
61,5,5,100
62,5,5,100
63,6,5,120
64,6,5,120
65,3,6,50
66,4,4,100
67,4,4,100
68,6,4,150
69,6,5,120
70,5,5,100
71,2,4,50
72,3,4,75
73,3,4,75
74,4,4,100
75,6,4,150
76,7,4,175
77,5,4,125
78,6,4,150
79,5,4,125
80,6,5,120
81,4,4,100
82,5,4,125
83,4,6,66.6667
84,6,3,200
85,5,3,166.667
86,5,3,166.667
87,6,3,200
88,6,3,200
89,2,3,66.6667
90,3,3,100
91,4,3,133.333
92,5,2,250
93,5,2,250
94,5,2,250
95,3,2,150
96,4,6,66.6667
97,4,2,200
98,4,2,200
99,6,2,300
100,3,2,150
101,3,2,150
102,5,2,250
103,3,2,150
104,5,2,250
105,3,2,150
106,5,2,250
107,9,2,450
108,8,2,400
109,7,2,350
110,6,2,300
111,1,2,50
112,3,2,150
113,3,2,150
114,7,3,233.333
115,6,2,300
116,8,2,400
117,10,2,500
118,8,2,400
119,5,2,250
120,6,2,300
121,4,2,200
122,4,2,200
123,3,2,150
124,5,2,250
125,3,2,150
126,5,2,250
127,5,2,250
128,8,2,400
129,0,2,0
130,7,2,350
131,3,0,0
