Frame #,Box Est.,Actual, Accuracy
1,21,8,262.5
2,17,9,188.889
3,21,9,233.333
4,22,9,244.444
5,15,9,166.667
6,16,9,177.778
7,22,8,275
8,1,9,11.1111
9,21,9,233.333
10,21,8,262.5
11,1,8,12.5
12,1,8,12.5
13,22,8,275
14,24,8,300
15,23,7,328.571
16,16,8,200
17,12,8,150
18,28,8,350
19,19,7,271.429
20,21,7,300
21,30,8,375
22,27,8,337.5
23,35,8,437.5
24,20,8,250
25,18,7,257.143
26,17,7,242.857
27,18,7,257.143
28,20,7,285.714
29,21,7,300
30,1,7,14.2857
31,20,7,285.714
32,0,7,0
33,22,7,314.286
34,14,7,200
35,14,6,233.333
36,38,6,633.333
37,38,6,633.333
38,29,6,483.333
39,29,6,483.333
40,19,6,316.667
41,19,6,316.667
42,24,6,400
43,23,6,383.333
44,21,6,350
45,23,6,383.333
46,21,5,420
47,17,5,340
48,22,6,366.667
49,20,5,400
50,12,6,200
51,14,5,280
52,10,5,200
53,34,5,680
54,22,5,440
55,31,5,620
56,19,5,380
57,17,5,340
58,18,5,360
59,20,4,500
60,17,4,425
61,25,4,625
62,24,5,480
63,24,4,600
64,21,5,420
65,33,5,660
66,22,5,440
67,1,5,20
68,1,5,20
69,1,5,20
70,17,5,340
71,15,5,300
72,18,5,360
73,20,5,400
74,18,5,360
75,22,5,440
76,23,5,460
77,16,5,320
78,17,5,340
79,17,5,340
80,17,5,340
81,19,4,475
82,14,5,280
83,19,6,316.667
84,19,6,316.667
85,20,6,333.333
86,19,6,316.667
87,22,6,366.667
88,29,6,483.333
89,19,6,316.667
90,29,6,483.333
91,27,6,450
92,24,5,480
93,22,6,366.667
94,24,6,400
95,26,6,433.333
96,25,5,500
97,30,5,600
98,18,5,360
99,14,5,280
100,20,4,500
101,1,4,25
102,16,4,400
103,27,5,540
104,26,5,520
105,24,5,480
106,20,5,400
107,28,5,560
108,16,5,320
109,23,5,460
110,23,5,460
111,23,5,460
112,22,5,440
113,16,5,320
114,24,5,480
115,19,5,380
116,18,5,360
117,23,6,383.333
118,19,6,316.667
119,28,6,466.667
120,19,6,316.667
121,19,6,316.667
122,25,6,416.667
123,20,6,333.333
124,19,6,316.667
125,25,6,416.667
126,23,6,383.333
127,17,6,283.333
128,28,6,466.667
129,25,6,416.667
130,25,6,416.667
131,25,6,416.667
132,26,6,433.333
133,21,6,350
134,19,6,316.667
135,20,7,285.714
136,19,6,316.667
137,22,7,314.286
138,21,7,300
139,24,7,342.857
140,21,7,300
141,27,7,385.714
142,20,7,285.714
143,20,7,285.714
144,21,7,300
145,21,6,350
146,23,7,328.571
147,25,7,357.143
148,26,7,371.429
149,21,7,300
150,19,7,271.429
151,23,7,328.571
152,23,7,328.571
153,21,7,300
154,18,0,0
155,23,0,0
