Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
125,25,21,324,156,6,156,26,51,6,2,850
126,29,20,309,159,5,159,31,32,6,4,533.333
127,18,13,297,53,7,53,7,13,6,4,216.667
128,19,18,289,276,3,276,92,61,6,0,1016.67
129,24,17,268,128,8,128,16,42,6,2,700
130,22,15,253,137,7,137,19,44,6,4,733.333
131,22,15,255,148,7,148,21,44,6,2,733.333
132,18,16,245,127,5,127,25,52,6,4,866.667
133,23,12,261,102,7,102,14,38,6,4,633.333
134,25,20,244,107,6,107,17,32,6,0,533.333
135,25,18,243,57,8,57,7,24,7,4,342.857
136,24,17,243,52,8,52,6,23,6,4,383.333
137,22,16,237,44,9,44,4,17,7,4,242.857
138,21,15,257,123,6,123,20,41,7,4,585.714
139,24,16,274,49,10,49,4,21,7,4,300
140,27,22,267,115,7,115,16,36,7,4,514.286
141,28,28,288,284,3,284,94,70,7,0,1000
142,22,19,298,58,11,58,5,23,7,4,328.571
143,25,18,281,136,6,136,22,50,7,2,714.286
144,23,15,280,150,6,150,25,39,7,0,557.143
145,29,15,311,63,9,63,7,22,6,4,366.667
146,27,17,275,76,9,76,8,26,7,0,371.429
147,33,22,273,137,8,137,17,38,7,4,542.857
148,29,17,270,63,10,63,6,28,7,2,400
149,26,10,272,43,7,43,6,14,7,4,200
150,26,11,271,47,7,47,6,22,7,4,314.286
151,28,18,269,129,6,129,21,49,7,4,700
152,22,13,246,64,6,64,10,32,7,4,457.143
153,24,17,232,120,5,120,24,40,7,2,571.429
154,19,14,239,36,7,36,5,13,0,4,0
155,19,14,238,37,7,37,5,15,0,4,0
