Frame #,Cluster Sum, Cluster Avg., Box Est.
1,141,47,110,141,
2,148,49,88,148,
3,131,43,103,131,
4,204,51,142,156,48,
5,149,49,116,149,
6,254,63,123,109,145,
7,10,3,10,10,
8,10,3,10,10,
9,152,50,106,152,
10,162,54,114,162,
11,127,42,81,127,
12,297,74,149,165,132,
13,165,55,93,165,
14,164,54,114,164,
15,150,50,139,150,
16,164,41,94,159,5,
17,163,54,174,163,
18,162,54,170,162,
19,228,45,84,10,152,66,
20,239,59,86,159,80,
21,169,33,60,89,9,71,
22,98,19,36,5,32,61,
23,197,49,94,163,34,
24,148,37,80,119,29,
25,253,63,108,164,89,
26,142,47,77,142,
27,238,59,124,155,83,
28,273,68,197,141,132,
29,234,58,178,141,93,
30,102,20,74,5,33,64,
31,181,45,96,109,72,
32,181,45,113,109,72,
33,187,46,100,163,24,
34,176,35,105,118,31,27,
35,39,7,34,5,20,14,
36,0,0,8,
37,0,0,6,
38,285,71,130,154,131,
39,258,64,117,106,152,
40,275,68,142,142,133,
41,73,18,24,51,22,
42,252,63,135,140,112,
43,269,67,133,128,141,
44,132,26,89,105,5,22,
45,150,37,109,146,4,
46,221,55,125,106,115,
47,261,52,114,132,6,123,
48,35,8,26,3,32,
49,121,24,83,3,98,20,
50,305,101,232,305,
51,130,43,94,130,
52,127,42,81,127,
53,296,74,165,166,130,
54,339,113,143,339,
55,352,117,173,352,
56,351,117,173,351,
57,80,26,60,80,
58,98,32,80,98,
59,207,51,110,168,39,
60,259,64,106,122,137,
61,115,38,19,115,
62,143,47,85,143,
63,0,0,2,
64,151,37,84,129,22,
65,126,42,74,126,
66,3,1,2,3,
67,245,61,141,130,115,
68,99,33,93,99,
69,353,117,166,353,
70,356,118,165,356,
71,0,0,13,
72,133,33,94,130,3,
73,57,19,55,57,
74,99,24,85,93,6,
75,132,33,34,3,129,
76,127,42,97,127,
77,338,112,202,338,
78,7,2,3,7,
79,293,73,241,143,150,
80,320,106,274,320,
81,320,106,269,320,
82,0,0,9,
83,0,0,18,
84,146,36,108,126,20,
85,190,47,197,154,36,
86,79,15,64,31,3,45,
87,263,65,162,144,119,
88,142,35,100,4,138,
89,34,8,30,4,30,
90,154,38,96,102,52,
91,254,63,108,134,120,
92,161,53,104,161,
93,170,42,95,137,33,
94,43,10,40,38,5,
95,58,19,53,58,
96,102,25,70,72,30,
97,139,23,84,7,34,31,67,
98,168,42,101,140,28,
99,71,17,57,18,53,
100,70,17,57,20,50,
101,316,105,162,316,
102,123,24,83,90,10,23,
103,54,18,49,54,
