Frame #,Box Est.,Actual, Accuracy
1,15,8,187.5
2,18,9,200
3,17,9,188.889
4,20,9,222.222
5,6,9,66.6667
6,11,9,122.222
7,22,8,275
8,1,9,11.1111
9,10,9,111.111
10,14,8,175
11,1,8,12.5
12,1,8,12.5
13,27,8,337.5
14,21,8,262.5
15,20,7,285.714
16,21,8,262.5
17,15,8,187.5
18,28,8,350
19,9,7,128.571
20,12,7,171.429
21,13,8,162.5
22,12,8,150
23,17,8,212.5
24,17,8,212.5
25,27,7,385.714
26,8,7,114.286
27,15,7,214.286
28,20,7,285.714
29,20,7,285.714
30,1,7,14.2857
31,20,7,285.714
32,0,7,0
33,10,7,142.857
34,10,7,142.857
35,10,6,166.667
36,38,6,633.333
37,38,6,633.333
38,22,6,366.667
39,27,6,450
40,34,6,566.667
41,39,6,650
42,9,6,150
43,17,6,283.333
44,20,6,333.333
45,22,6,366.667
46,21,5,420
47,10,5,200
48,26,6,433.333
49,16,5,320
50,11,6,183.333
51,20,5,400
52,10,5,200
53,34,5,680
54,34,5,680
55,31,5,620
56,19,5,380
57,16,5,320
58,14,5,280
59,19,4,475
60,17,4,425
61,38,4,950
62,26,5,520
63,24,4,600
64,19,5,380
65,33,5,660
66,19,5,380
67,1,5,20
68,1,5,20
69,1,5,20
70,7,5,140
71,9,5,180
72,9,5,180
73,19,5,380
74,12,5,240
75,22,5,440
76,23,5,460
77,9,5,180
78,6,5,120
79,7,5,140
80,13,5,260
81,15,4,375
82,8,5,160
83,19,6,316.667
84,20,6,333.333
85,11,6,183.333
86,13,6,216.667
87,16,6,266.667
88,30,6,500
89,13,6,216.667
90,28,6,466.667
91,27,6,450
92,24,5,480
93,22,6,366.667
94,26,6,433.333
95,26,6,433.333
96,25,5,500
97,29,5,580
98,13,5,260
99,11,5,220
100,4,4,100
101,1,4,25
102,12,4,300
103,25,5,500
104,26,5,520
105,23,5,460
106,24,5,480
107,29,5,580
108,10,5,200
109,21,5,420
110,21,5,420
111,20,5,400
112,22,5,440
113,7,5,140
114,22,5,440
115,11,5,220
116,13,5,260
117,23,6,383.333
118,16,6,266.667
119,27,6,450
120,12,6,200
121,10,6,166.667
122,19,6,316.667
123,14,6,233.333
124,14,6,233.333
125,24,6,400
126,21,6,350
127,11,6,183.333
128,28,6,466.667
129,25,6,416.667
130,25,6,416.667
131,22,6,366.667
132,25,6,416.667
133,20,6,333.333
134,18,6,300
135,16,7,228.571
136,15,6,250
137,12,7,171.429
138,21,7,300
139,13,7,185.714
140,20,7,285.714
141,27,7,385.714
142,17,7,242.857
143,20,7,285.714
144,23,7,328.571
145,18,6,300
146,19,7,271.429
147,22,7,314.286
148,21,7,300
149,13,7,185.714
150,15,7,214.286
151,18,7,257.143
152,18,7,257.143
153,22,7,314.286
154,10,0,0
155,11,0,0
