Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,25,18,131,61,8,61,7,12,0,2,0
2,22,18,132,53,13,53,4,9,0,4,0
3,29,19,145,96,18,96,5,18,0,4,0
4,30,17,142,56,10,56,5,10,0,0,0
5,26,16,133,47,9,47,5,9,0,4,0
6,26,21,138,55,13,55,4,10,0,2,0
7,27,16,135,47,6,47,7,13,0,0,0
8,25,25,133,115,9,115,12,37,0,4,0
9,21,21,132,82,5,82,16,32,0,4,0
10,22,11,134,74,15,74,4,16,0,2,0
11,20,16,126,54,7,54,7,11,0,2,0
12,22,15,129,49,10,49,4,14,0,4,0
13,30,21,141,54,14,54,3,14,0,2,0
14,19,11,128,45,13,45,3,14,0,4,0
15,17,17,138,135,4,135,33,45,0,0,0
16,26,8,142,78,18,78,4,14,0,4,0
17,19,19,131,131,4,131,32,42,0,-1,0
18,22,18,138,106,15,106,7,28,0,4,0
19,17,9,129,40,8,40,5,15,0,2,0
20,19,11,147,82,19,82,4,24,0,4,0
21,17,7,138,42,9,42,4,15,0,2,0
22,16,12,135,90,15,90,6,26,0,4,0
23,18,12,147,52,12,52,4,16,0,0,0
24,24,18,148,55,10,55,5,16,0,4,0
25,25,24,146,75,5,75,15,19,0,2,0
26,18,12,140,49,11,49,4,9,0,4,0
27,17,10,149,55,13,55,4,10,0,4,0
28,21,17,152,68,5,68,13,13,0,4,0
29,15,10,143,43,11,43,3,11,0,2,0
30,14,12,142,42,9,42,4,8,0,4,0
31,15,14,150,67,12,67,5,15,0,2,0
32,13,8,148,95,18,95,5,20,0,2,0
33,21,15,147,88,21,88,4,28,0,4,0
34,20,12,169,67,12,67,5,15,0,2,0
35,27,15,173,52,13,52,4,13,0,4,0
36,27,14,173,105,17,105,6,21,0,0,0
37,28,25,164,125,10,125,12,38,0,4,0
38,28,18,171,77,15,77,5,19,0,4,0
39,36,23,174,103,14,103,7,30,0,2,0
40,29,21,180,127,10,127,12,38,0,4,0
41,30,16,171,110,16,110,6,25,0,2,0
42,25,17,174,120,15,120,8,25,0,4,0
43,26,15,179,63,11,63,5,19,0,2,0
44,24,13,182,102,16,102,6,20,0,2,0
45,22,13,170,83,18,83,4,17,0,4,0
46,27,16,180,87,14,87,6,20,0,2,0
47,21,16,177,112,19,112,5,22,0,4,0
48,29,11,178,94,20,94,4,19,0,4,0
49,30,18,164,92,17,92,5,20,0,2,0
50,29,18,172,100,20,100,5,20,0,2,0
51,20,6,159,91,13,91,7,16,0,2,0
52,27,21,173,77,9,77,8,16,0,2,0
53,23,10,164,60,10,60,6,12,0,2,0
54,25,18,162,109,13,109,8,23,0,4,0
55,24,11,170,89,19,89,4,19,0,2,0
56,23,13,165,54,11,54,4,13,0,4,0
57,23,17,173,109,14,109,7,24,0,2,0
58,20,18,181,96,6,96,16,26,0,4,0
59,24,15,173,64,13,64,4,11,0,4,0
60,23,16,174,80,5,80,16,25,0,4,0
61,19,11,180,65,14,65,4,11,0,4,0
62,20,14,181,113,16,113,7,20,0,2,0
63,17,11,174,102,20,102,5,17,0,4,0
64,16,4,181,54,13,54,4,11,0,4,0
65,19,11,194,122,21,122,5,23,0,4,0
66,16,6,188,57,13,57,4,12,0,4,0
67,22,12,185,72,13,72,5,10,0,2,0
68,19,14,180,73,13,73,5,15,0,4,0
69,19,12,172,74,14,74,5,16,0,4,0
70,18,12,170,60,14,60,4,11,0,4,0
71,19,15,168,74,14,74,5,14,0,4,0
72,23,21,170,93,5,93,18,34,0,4,0
73,20,16,166,67,7,67,9,15,0,4,0
74,27,16,169,58,13,58,4,11,0,4,0
75,25,13,154,44,11,44,4,10,0,0,0
76,32,19,156,67,13,67,5,13,0,2,0
77,30,20,144,39,7,39,5,7,0,4,0
78,28,23,138,53,8,53,6,12,0,4,0
79,26,16,139,45,11,45,4,8,0,2,0
80,35,27,131,85,12,85,7,13,0,4,0
81,31,26,126,42,9,42,4,8,0,0,0
82,31,24,122,44,11,44,4,9,0,0,0
83,31,22,125,48,8,48,6,7,0,2,0
84,20,15,119,39,9,39,4,5,0,2,0
85,16,10,118,32,7,32,4,6,0,2,0
86,16,9,117,38,8,38,4,6,0,2,0
87,18,12,119,41,6,41,6,10,0,2,0
88,24,12,126,41,10,41,4,7,0,4,0
89,24,17,130,51,8,51,6,15,0,2,0
90,25,16,131,48,8,48,6,15,0,2,0
