Frame #,Box Est.,Actual, Accuracy
1,376,432,87.037
2,370,435,85.0575
3,369,442,83.4842
4,364,447,81.4318
5,171,444,38.5135
6,377,441,85.4875
7,369,443,83.2957
8,246,430,57.2093
9,372,435,85.5172
10,316,432,73.1481
11,299,414,72.2222
12,296,431,68.6775
13,331,429,77.1562
14,338,425,79.5294
15,333,426,78.169
16,371,411,90.2676
17,319,409,77.9951
18,347,401,86.5337
19,315,416,75.7212
20,315,418,75.3589
21,299,408,73.2843
22,293,422,69.4313
23,305,418,72.9665
24,376,410,91.7073
25,348,416,83.6538
26,315,410,76.8293
27,376,409,91.9315
28,306,409,74.8166
29,315,397,79.3451
30,287,401,71.5711
31,369,401,92.02
32,306,404,75.7426
33,301,395,76.2025
34,335,389,86.1183
35,260,390,66.6667
36,352,381,92.3885
37,356,378,94.1799
38,336,376,89.3617
39,310,371,83.558
40,359,376,95.4787
41,301,366,82.2404
42,358,367,97.5477
43,328,359,91.3649
44,335,348,96.2644
45,189,343,55.102
46,232,351,66.0969
47,300,341,87.9765
48,291,329,88.4498
49,298,329,90.5775
50,311,329,94.5289
51,202,323,62.5387
52,282,318,88.6792
53,210,306,68.6275
54,261,304,85.8553
55,207,285,72.6316
56,258,288,89.5833
57,186,289,64.3599
58,253,281,90.0356
59,237,268,88.4328
60,233,257,90.6615
61,231,261,88.5057
62,228,262,87.0229
63,219,263,83.27
64,156,251,62.1514
65,188,245,76.7347
66,221,242,91.3223
67,210,237,88.6076
68,185,228,81.1404
69,189,220,85.9091
70,120,224,53.5714
71,185,212,87.2642
72,179,200,89.5
73,179,196,91.3265
